c,x,y
0,6,10.0
1,0,13.0
1,11,16.58257569495584
0,14,11.0
0,6,9.0
0,13,14.0
1,7,17.898979485566358
1,7,17.0
0,7,14.0
1,17,16.0
0,8,14.582575694955839
0,9,11.582575694955839
0,9,14.898979485566356
1,10,16.898979485566358
0,7,11.582575694955839
1,8,17.58257569495584
0,9,10.0
1,14,18.58257569495584
1,15,8.0
1,11,5.0
0,10,15.0
0,10,9.0
0,6,13.0
1,8,19.0
0,11,11.898979485566356
1,11,16.898979485566358
1,10,18.58257569495584
1,11,17.0
1,10,19.0
1,4,17.898979485566358
1,15,17.898979485566358
1,2,10.0
1,5,11.0
1,3,7.0
0,13,12.582575694955839
0,9,9.898979485566356
0,7,10.0
1,7,16.0
0,9,14.0
1,9,15.0
1,10,17.0
1,1,11.0
1,2,10.0
1,13,17.898979485566358
0,10,12.582575694955839
1,6,17.898979485566358
0,13,13.898979485566356
0,12,13.582575694955839
1,1,16.0
1,4,18.0
0,11,12.582575694955839
1,12,18.58257569495584
0,11,14.0
0,8,11.582575694955839
0,10,10.582575694955839
0,10,13.0
1,6,13.582575694955839
1,11,19.0
1,11,18.898979485566358
0,12,13.0
1,16,10.0
1,15,17.0
1,12,16.0
1,17,12.0
1,10,17.898979485566358
0,7,13.898979485566356
0,11,13.0
0,6,10.0
0,12,9.898979485566356
1,9,5.0
0,8,11.582575694955839
0,7,12.582575694955839
0,12,13.898979485566356
1,15,18.58257569495584
0,13,10.898979485566356
1,5,16.898979485566358
1,14,16.0
0,11,13.582575694955839
0,8,12.0
1,6,14.0
1,16,9.0
1,2,8.0
1,5,12.0
0,9,14.0
1,19,14.0
1,11,18.58257569495584
1,5,11.0
1,7,14.898979485566356
0,9,6.0
0,11,11.0
1,2,9.0
1,15,12.0
1,18,9.0
0,9,12.0
1,15,11.898979485566356
0,11,9.0
0,8,14.0
0,8,11.0
1,11,16.898979485566358
0,6,9.0
0,6,11.0
1,14,17.0
1,17,11.0
0,8,9.0
1,12,15.582575694955839
1,11,16.0
0,11,11.0
1,15,8.0
1,2,12.0
0,8,11.0
1,12,5.0
1,4,17.0
1,14,13.898979485566356
1,7,18.0
1,10,17.898979485566358
0,9,10.898979485566356
0,12,6.0
1,11,15.898979485566356
0,6,11.898979485566356
1,11,18.58257569495584
1,5,15.582575694955839
1,3,14.0
1,7,18.0
1,11,17.0
0,10,13.0
1,17,17.0
1,9,15.898979485566356
1,8,15.898979485566356
0,11,9.0
1,1,9.0
1,5,9.0
1,6,17.898979485566358
0,10,12.0
1,4,9.898979485566356
1,6,5.0
0,13,9.0
1,13,14.898979485566356
1,8,16.898979485566358
1,16,12.0
1,9,16.0
1,6,19.0
1,17,11.0
0,5,10.0
1,6,16.0
1,5,16.0
1,13,16.0
1,7,14.582575694955839
1,13,16.58257569495584
1,16,13.0
0,13,9.0
1,8,17.0
1,6,15.898979485566356
1,18,5.0
0,8,6.0
1,11,18.898979485566358
0,12,8.0
1,9,15.898979485566356
1,15,12.898979485566356
0,10,10.0
0,11,13.582575694955839
0,9,12.898979485566356
0,12,11.582575694955839
0,10,14.0
1,1,5.0
1,11,15.0
0,14,11.582575694955839
1,15,18.0
1,5,14.898979485566356
1,12,15.0
1,9,5.0
1,16,10.0
1,18,5.0
1,16,11.0
1,17,15.0
1,7,14.582575694955839
1,17,15.0
0,12,13.0
0,8,13.898979485566356
0,13,11.898979485566356
1,13,15.898979485566356
0,11,9.898979485566356
0,10,11.898979485566356
1,4,16.58257569495584
1,18,8.0
0,10,14.0
1,6,14.0
1,9,16.0
1,17,9.0
1,3,11.0
0,13,14.0
0,13,11.898979485566356
1,11,15.0
1,8,17.898979485566358
1,5,13.898979485566356
1,2,14.0
0,12,12.0
1,18,7.0
0,7,11.898979485566356
1,3,10.0
0,6,12.898979485566356
0,6,12.0
0,10,11.0
1,13,16.898979485566358
0,11,6.0
0,9,12.582575694955839
1,5,11.0
0,10,13.582575694955839
1,4,8.0
1,8,17.0
1,8,15.898979485566356
1,11,17.0
0,12,11.0
1,1,16.0
1,15,9.0
0,10,10.0
1,4,9.0
1,8,18.0
1,18,9.0
1,10,15.582575694955839
1,16,17.0
0,7,10.0
1,15,13.582575694955839
0,9,10.0
0,11,13.0
1,4,12.898979485566356
0,14,10.0
1,16,11.0
0,8,11.582575694955839
1,10,17.58257569495584
1,12,5.0
1,15,14.0
1,13,18.898979485566358
0,10,9.898979485566356
0,12,9.582575694955839
0,7,11.582575694955839
0,13,12.898979485566356
1,4,14.582575694955839
0,12,9.582575694955839
0,7,13.582575694955839
1,6,14.898979485566356
1,14,14.582575694955839
1,5,10.898979485566356
0,13,8.0
0,7,13.898979485566356
1,15,15.898979485566356
0,8,11.0
1,0,5.0
1,15,11.0
1,4,13.0
1,16,10.0
0,7,13.0
1,13,15.0
0,11,10.0
1,10,16.0
1,9,16.0
0,8,11.898979485566356
1,13,16.58257569495584
0,7,9.0
0,8,12.0
1,15,5.0
1,16,9.0
0,12,10.0
0,7,13.0
1,3,9.0
0,9,13.0
1,3,10.0
1,7,17.58257569495584
1,11,16.898979485566358
1,15,14.0
1,13,16.0
0,14,10.0
1,12,18.898979485566358
1,9,17.58257569495584
1,6,16.58257569495584
0,6,13.0
0,14,12.0
0,10,10.0
0,6,9.898979485566356
0,12,10.0
1,19,12.0
1,4,10.0
1,6,14.582575694955839
1,17,17.0
0,12,10.582575694955839
0,9,9.898979485566356
0,10,11.0
1,11,15.582575694955839
0,11,12.898979485566356
1,1,10.0
1,13,16.0
0,11,7.0
1,10,18.0
1,13,15.0
1,8,17.0
0,12,11.0
1,11,17.58257569495584
1,10,16.0
0,9,9.0
1,7,5.0
0,8,12.0
0,10,10.0
1,12,17.58257569495584
